iter	Passed	Remaining
0	7	7020
1	13	6635
2	20	6808
3	27	6963
4	35	6991
5	42	6989
6	49	7079
7	58	7193
8	64	7156
9	71	7069
10	78	7014
11	84	6975
12	90	6885
13	97	6887
14	104	6846
15	110	6815
16	117	6791
17	123	6752
18	129	6675
19	136	6685
20	143	6668
21	148	6589
22	154	6573
23	161	6557
24	168	6570
25	174	6548
26	181	6550
27	189	6573
28	197	6600
29	203	6593
30	210	6590
31	217	6590
32	224	6592
33	232	6600
34	239	6597
35	245	6582
36	252	6567
37	258	6532
38	264	6527
39	271	6514
40	278	6508
41	283	6464
42	290	6461
43	297	6454
44	303	6430
45	310	6432
46	317	6436
47	324	6430
48	331	6424
49	337	6415
50	344	6407
51	351	6403
52	358	6405
53	365	6408
54	373	6417
55	377	6371
56	385	6369
57	391	6357
58	398	6355
59	405	6345
60	411	6335
61	418	6324
62	424	6318
63	431	6311
64	438	6306
65	444	6294
66	449	6264
67	456	6259
68	464	6264
69	469	6243
70	476	6240
71	484	6238
72	491	6236
73	497	6225
74	504	6217
75	511	6215
76	518	6212
77	524	6204
78	531	6193
79	537	6180
80	544	6181
81	551	6175
82	558	6171
83	565	6166
84	572	6162
85	579	6162
86	586	6151
87	592	6141
88	599	6135
89	607	6147
90	615	6152
91	623	6151
92	630	6148
93	638	6150
94	645	6146
95	652	6143
96	659	6140
97	666	6133
98	673	6127
99	680	6127
100	687	6123
101	694	6118
102	702	6114
103	709	6112
104	715	6102
105	722	6094
106	729	6085
107	736	6083
108	743	6074
109	749	6066
110	756	6062
111	764	6057
112	771	6053
113	778	6051
114	785	6047
115	792	6042
116	800	6039
117	807	6034
118	814	6028
119	821	6024
120	828	6017
121	836	6019
122	843	6016
123	850	6006
124	856	5993
125	863	5987
126	869	5979
127	876	5973
128	884	5968
129	891	5963
130	897	5956
131	904	5950
132	912	5948
133	919	5944
134	926	5934
135	933	5927
136	940	5925
137	948	5923
138	955	5919
139	963	5915
140	971	5917
141	977	5906
142	984	5897
143	990	5888
144	997	5882
145	1004	5878
146	1012	5875
147	1019	5869
148	1026	5862
149	1032	5852
150	1039	5842
151	1046	5836
152	1053	5831
153	1060	5826
154	1068	5825
155	1075	5816
156	1081	5807
157	1087	5796
158	1095	5793
159	1102	5786
160	1108	5778
161	1114	5765
162	1120	5755
163	1127	5748
164	1134	5739
165	1140	5731
166	1148	5727
167	1155	5723
168	1163	5720
169	1171	5719
170	1178	5714
171	1185	5707
172	1191	5696
173	1198	5688
174	1204	5679
175	1210	5669
176	1217	5661
177	1224	5653
178	1231	5647
179	1238	5642
180	1246	5639
181	1253	5634
182	1260	5626
183	1267	5620
184	1273	5612
185	1281	5608
186	1289	5604
187	1296	5600
188	1303	5592
189	1309	5583
190	1317	5579
191	1323	5570
192	1330	5564
193	1337	5556
194	1344	5548
195	1350	5538
196	1356	5530
197	1363	5521
198	1369	5513
199	1377	5510
200	1384	5502
201	1390	5493
202	1396	5484
203	1403	5476
204	1410	5469
205	1416	5461
206	1423	5452
207	1430	5447
208	1437	5441
209	1444	5433
210	1450	5424
211	1457	5417
212	1464	5411
213	1471	5405
214	1479	5400
215	1485	5392
216	1491	5383
217	1498	5375
218	1505	5368
219	1512	5361
220	1519	5354
221	1526	5348
222	1533	5342
223	1540	5335
224	1546	5325
225	1552	5318
226	1560	5312
227	1567	5306
228	1574	5299
229	1580	5292
230	1588	5287
231	1594	5278
232	1601	5271
233	1606	5260
234	1613	5251
235	1619	5241
236	1625	5234
237	1631	5225
238	1638	5216
239	1645	5211
240	1652	5204
241	1658	5196
242	1666	5192
243	1673	5186
244	1681	5181
245	1688	5174
246	1695	5168
247	1702	5163
248	1709	5155
